succession;code;field ;sample code;succession_full;YSA
roadverge;TW2_1;TW2;V41;Road_verge;NA
roadverge;TW2_2;TW2;V42;Road_verge;NA
roadverge;TW2_3;TW2;V43;Road_verge;NA
roadverge;TW2_4;TW2;V44;Road_verge;NA
roadverge;TW2_5;TW2;V45;Road_verge;NA
roadverge;TW2_6;TW2;V46;Road_verge;NA
mid;TW1_2;TW1;V47;Mid_succession;16
mid;TW1_4;TW1;V48;Mid_succession;16
mid;TW1_5;TW1;V49;Mid_succession;16
mid;TW1_6;TW1;V50;Mid_succession;16
roadverge;AR2_1;AR2;V51;Road_verge;NA
roadverge;AR2_2;AR2;V52;Road_verge;NA
roadverge;AR2_3;AR2;V53;Road_verge;NA
roadverge;AR2_4;AR2;V54;Road_verge;NA
roadverge;AR2_5;AR2;V55;Road_verge;NA
roadverge;AR2_6;AR2;V56;Road_verge;NA
mid;REIJ_1;REIJ;V57;Mid_succession;13
mid;REIJ_2;REIJ;V58;Mid_succession;13
mid;REIJ_3;REIJ;V59;Mid_succession;13
mid;REIJ_4;REIJ;V60;Mid_succession;13
mid;REIJ_5;REIJ;V61;Mid_succession;13
mid;REIJ_6;REIJ;V62;Mid_succession;13
late;DK_1;DK;V63;Late_succession;36
late;DK_2;DK;V64;Late_succession;36
late;DK_3;DK;V65;Late_succession;36
late;DK_4;DK;V66;Late_succession;36
late;DK_5;DK;V67;Late_succession;36
late;DK_6;DK;V68;Late_succession;36
mid;OR_1;OR;V69;Mid_succession;13
mid;OR_2;OR;V70;Mid_succession;13
mid;OR_3;OR;V71;Mid_succession;13
mid;OR_4;OR;V72;Mid_succession;13
mid;OR_5;OR;V73;Mid_succession;13
mid;OR_6;OR;V74;Mid_succession;13
late;NR_1;NR;V75;Late_succession;28
late;NR_2;NR;V76;Late_succession;28
late;NR_4;NR;V77;Late_succession;28
late;NR_5;NR;V78;Late_succession;28
late;MV_1;MV;V79;Late_succession;33
late;MV_2;MV;V80;Late_succession;33
late;MV_3;MV;V81;Late_succession;33
late;MV_5;MV;V82;Late_succession;33
late;MV_6;MV;V83;Late_succession;33
late;MO_1;MO;V84;Late_succession;23
late;MO_2;MO;V85;Late_succession;23
late;MO_3;MO;V86;Late_succession;23
late;MO_4;MO;V87;Late_succession;23
late;MO_5;MO;V88;Late_succession;23
late;MO_6;MO;V89;Late_succession;23
agricultural;AR3_3;AR3;V90;Agricultural_field;0
agricultural;AR3_5;AR3;V91;Agricultural_field;0
agricultural;AR1_5;AR1;V93;Agricultural_field;0
agricultural;AR1_6;AR1;V94;Agricultural_field;0
